(0,0,M)
(0,1,B)
(0,2,K)
(0,3,B)
(0,4,K)
(0,5,B)
(0,6,K)
(0,7,B)
(0,8,B)
(0,9,B)
(0,10,K)
(0,11,B)
(0,12,B)
(0,13,K)
(0,14,B)
(0,15,K)
(0,16,B)
(0,17,B)
(0,18,K)
(0,19,B)
(0,20,B)
(0,21,K)
(0,22,B)
(0,23,B)
(0,24,B)
(0,25,K)
(0,26,K)
(0,27,K)
(0,28,B)
(0,29,B)
(0,30,B)
(0,31,B)
(0,32,K)
(0,33,B)
(0,34,B)
(0,35,B)
(0,36,K)
(0,37,B)
(0,38,B)
(0,39,B)
(0,40,K)
(0,41,B)
(0,42,K)
(0,43,B)
(0,44,K)
(0,45,B)
(0,46,B)
(0,47,B)
(0,48,K)
(0,49,B)
(1,0,B)
(1,1,K)
(1,2,B)
(1,3,K)
(1,4,B)
(1,5,B)
(1,6,K)
(1,7,B)
(1,8,B)
(1,9,K)
(1,10,B)
(1,11,B)
(1,12,B)
(1,13,B)
(1,14,B)
(1,15,B)
(1,16,K)
(1,17,B)
(1,18,B)
(1,19,B)
(1,20,B)
(1,21,B)
(1,22,K)
(1,23,B)
(1,24,B)
(1,25,K)
(1,26,B)
(1,27,K)
(1,28,B)
(1,29,B)
(1,30,B)
(1,31,B)
(1,32,B)
(1,33,K)
(1,34,K)
(1,35,B)
(1,36,B)
(1,37,K)
(1,38,B)
(1,39,B)
(1,40,K)
(1,41,B)
(1,42,B)
(1,43,B)
(1,44,K)
(1,45,B)
(1,46,B)
(1,47,B)
(1,48,B)
(1,49,K)
(2,0,B)
(2,1,B)
(2,2,B)
(2,3,K)
(2,4,K)
(2,5,B)
(2,6,K)
(2,7,B)
(2,8,B)
(2,9,B)
(2,10,B)
(2,11,K)
(2,12,B)
(2,13,K)
(2,14,B)
(2,15,K)
(2,16,K)
(2,17,B)
(2,18,B)
(2,19,B)
(2,20,K)
(2,21,B)
(2,22,B)
(2,23,K)
(2,24,B)
(2,25,B)
(2,26,B)
(2,27,B)
(2,28,B)
(2,29,B)
(2,30,B)
(2,31,B)
(2,32,K)
(2,33,K)
